Code,Description
25440000,AAI SA (PTY) LTD
01870950,Sceptre Fishing
25458979,Union Shipping Agency
21369118,Mark Shipping
25294222,Melor Imports and Exports
01718470,Shipping Services Unltd
21847203,The Billion Company
22003009,Tranzaction Trade Facilitation
25051120,Fusion Power Boats
25460298,Union GSA
20507007,Zwanzi Imports And Exports CC
20269812,Kromberg and Schubert Eastern Cape
25074471,M Joubert
21932111,Surefire Clearing and Forwarding
21485204,Southern Sail Transport
25465648,Bluechain Group
00620311,Table Bay Cold Storage
25461480,Afroeuro Services Group
25445312,Marked
00879653,Britos Meat
25179167,Clock Clearing and Forwarding
21635187,Qabula Holdings
25352004,Cyber Clearing
25403419,International Forwarding Services Jhb
21810981,Seed Clearing
25479591,USA Freight Forwarding Specialist CC
01595411,Mix Telematics International 
21341916,Afrigistics (Pty) Ltd   
21948076,Global Marine Solutions 
21982726,Marbisol International Freight 
21946073,Transmed Xborder
21980103,Courier Brothers And Logistics 
21932952,All Cargo Shipping SA
21007052,Dynport Wholesalers 
21967664,Ensimbini Terminals (Pty) Ltd
00597950,DGB (Pty) Ltd
22008566,Fairship SA
21917092,Apex Travels 
21955616,A Class Intermodal Cargo 
21582284,Equilibrium Logistics 
22016975,Nae Clearing And Forwarding 
21249875,Havannah Transport And Freight 
21971792,Trans Atlantic Logistics 
21414230,Saastha
20001191,Confreight Containers Transvaal (Pty) Ltd
21985601,Busy Container
01885108,Impact Plus Trading 202
21995908,In 2 Africa Clearing And Forwarding
21950339,Mebs Global Logistix South Africa
21889522,Winetrans Logistics
22022389,Siya Forwarding And Clearing
21725445,Falcon Business Services
PGIA,Pasifik Gemi Isletmeciligi AS
22028450,Velvex Group
25067506,Innovative Freight Solutions
20966525,Mmdon Tech Trading
25058141,Wakhisa Consulting
25030753,Rangel Logistics South Africa
21926759,Gryphon Clearing And Consulting Services
21711399,Insingo Freight And Forwarding
25087939,Freight Junction
25089508,SHINC Shipping Services
22005125,Red Bot Logistics
25068715,M And S Tank Logistics
22013163,Uniatlantico South Africa (Pty) Ltd
00643859,Andwer Freight
25111231,Sestra Freight International
21076635,Pangea Logistics
25031261,Nalibex (Pty) Ltd
21529328,Daatax Consultancy
21743913,Golden Stack Import And Export
01403155,Hymalaya Freight Services
25155731,DDU Express SA
25121457,Blaque Cherry Logistics T/A Phoenix Logistics
21657928,Amax Freight Forwarding
25189218,Scan Global Logistics SA
22003351,Bontlogetse 123
25119976,Professional Logistics International SA
25008998,Pinnacle Freight Services
20691119,Oncourse Logistics
01275977,Freight Check Consultancy
25092540,Mainsa
25118562,Trade World Group
21723687,Raw Logic
01492257,Intercontinental Shipping
21433179,Daco Trading and Freight Services
25180881,Delreg
25222996,Afnet Air
21710457,Blue Core Logistics SA
22020831,OIA Global
21263647,Calthol Clearing And Fowarding Agency
20514102,Barloworld Logistics Africa
22038420,Ilenjane Holdings
25123476,Fast Forwarding And Clearing Services
25184178,Logvest Logistics Solutions
21441618,Enasni Express Pty Ltd
21442436,Nexlog
25107316,Jordans Freight And Logistics
00778688,Seaclad Maritime
25100397,Kanasu Freight
25190444,Polytra SACL (Pty) Ltd
21837314,Channel Shipping
25129989,ZMS Investments
25120396,M Harrilall
25241581,Netfreight (Pty) Ltd
25094152,Tive Africa
20918865,Logistixware (Pty) Ltd
25262517,Hasfred Logistics
21738406,Oceanwide Logistics SA (Pty) Ltd
25104015,Above And Beyond Logistics
25191718,Condor Cargo
25117353,MC Ramaube
25272115,Michaels Freight (Pty) Ltd
25279136,4PL International Clearing And Forwarding
25047604,ACM Trucking And Projects
21190664,Mqondisi Electrical
20724810,Advanced Computer Systems (Incorporated In Botswana)
25216385,Nurv Projects
20340119,Sediba Clearing
22019354,Universal Customs Clearing And Forwarding
25235377,Mbobo Construction And Supplies
25289319,South African Consolidators
25286026,Downwind Freight Services
21613703,AV Global
25290745,Bravado Agri Consultancy
21754477,DG Global Forwarding
25025610,Kmarg Shipping
25217578,Fox Mallard Freight
20123715,Makhulus Logistics Services
21914646,Harrington Mokemane
21661150,Goborders
25297752,Z And R Logistic
21989747,Stolt-Nielsen Africa
25297760,Ocean Rai Intermodal
ZZZ99999,Non-Registered Cargo Reporter 
25221973,M And J Trading
20868168,Beelogix
25026722,Velvet Bush Group
01793572,Central Logistics
21782192,Blue Oceans Maritime
ZZZ00080,Southern Ships Agencies (Pty) Ltd
ZZZ00083,Mujahida & Rayyan Freight Logistics
ZZZ00086,Havannah Transport & Freight CC
20893798,Chebo-Pele Logistics Support Pty Ltd
ZZZ00098,P & C Clearing and Forwarding CC
ZZZ00067,Micro Logistics S.A. CC
ZZZ00061,Shalom Shipping CC
01867551,Berry & Donaldson Clearing Pty Ltd
ZZZ00076,Trufreight CC
00652792,Freightwell (Pty) Ltd
01069814,Dedicated Freight & Trading CC
01674835,Africa Vehicle Clearance Specialist
01687383,W.E. Deane S.A. (Pty) Ltd
20966398,Freight Care Logistics Pty Ltd
01635647,Katlego Global Logistics Pty Ltd
01457560,Seacastle Freight CC
01813855,Thomhuizen Freight CC
00967315,Kyden Freight (Pty) Ltd
21492137,Boikanyos Catering And General Construction
21088780,Fatton Ariva South Africa (Pty) Ltd
20878022,Allport Cargo Services Durban Pty Ltd
01909739,Mul-T-Haul Pty Ltd
00311517,Logwin Air and Ocean SA Pty Ltd
01336308,Kerry Logistics (south Africa) 
01691916,Reegans Freight CC
21141269,MCV International Forwarding (Pty) Ltd
